id,date_recorded,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter_km_min,estimated_diameter_km_max,is_potentially_hazardous_asteroid,close_approach_data_date,close_approach_data_relative_velocity_kms,close_approach_data_miss_distance,close_approach_data_orbiting_body,is_sentry_object
54523989,2025-03-25,54523989,(2025 FT),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54523989,27.206,0.0096239859,0.0215198866,False,2025-Mar-25 08:52,8.9925963066,1951844.429625954,Earth,False
54524130,2025-03-25,54524130,(2025 FK2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524130,26.948,0.0108381455,0.0242348301,False,2025-Mar-25 23:14,3.5056078149,4529338.05851185,Earth,False
54524308,2025-03-25,54524308,(2025 FN2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524308,25.77,0.0186446818,0.041690776,False,2025-Mar-25 04:02,11.7903428677,3678553.474607931,Earth,False
3692751,2025-03-26,3692751,(2014 TN17),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3692751,21.55,0.1301832102,0.2910985075,True,2025-Mar-26 11:34,21.4671924692,5092456.335457734,Earth,False
3750678,2025-03-26,3750678,(2016 GM135),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3750678,22.32,0.0913177026,0.2041925905,False,2025-Mar-26 03:16,24.1926916072,60229846.339330377,Earth,False
3843767,2025-03-26,3843767,(2019 RK),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843767,25.26,0.0235806068,0.0527278398,False,2025-Mar-26 10:13,4.8474524156,37238134.066052962,Earth,False
54016462,2025-03-26,54016462,(2020 GC1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016462,25.25,0.0236894499,0.0529712204,False,2025-Mar-26 06:13,15.2494072554,30402116.485557751,Earth,False
54248972,2025-03-26,54248972,(2022 ER1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54248972,21.83,0.1144339731,0.2558821427,False,2025-Mar-26 23:01,17.5624004346,70149005.889044132,Earth,False
54317182,2025-03-26,54317182,(2022 UG2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54317182,27.11,0.0100590039,0.0224926165,False,2025-Mar-26 21:32,8.9280270689,34770471.887208139,Earth,False
54520712,2025-03-26,54520712,(2025 DW5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54520712,24.68,0.0308003021,0.0688715693,False,2025-Mar-26 22:21,5.6381949117,6329845.228743527,Earth,False
54524122,2025-03-26,54524122,(2025 FD2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524122,27.498,0.0084130792,0.018812217,False,2025-Mar-26 19:20,8.9431210424,2108351.911085727,Earth,False
54524312,2025-03-26,54524312,(2025 FR2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524312,26.731,0.011977191,0.0267818133,False,2025-Mar-26 01:44,10.5333403965,2715715.987092374,Earth,False
54524315,2025-03-26,54524315,(2025 FT2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524315,23.361,0.0565398923,0.1264270425,False,2025-Mar-26 18:59,14.5378285586,19749990.488185349,Earth,False
54524510,2025-03-26,54524510,(2025 FS5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54524510,24.185,0.0386861024,0.0865047547,False,2025-Mar-26 22:09,21.1135377408,7376613.389479837,Earth,False
